CN MEN,N244081197
PL ZSW,N31528751
NL VAR,N10904934781
BR PSA,R303581
PT SMI,R7540290
ZA BTS,N30670036
US MT4,R175812
BR KOR,R242708
DE BET,R422315
US BDG,R198877
FR SBB,R252615
FR NVU,R1127218
IT GS6,R45654
BR MSG,R301080
BR PTM,R301062
IN CHL,N344413691
FR BG5,R2718352
BE PUT,R398058
ES CJP,R343473
ES TSX,R342210
FR KJR,R384654
US YWY,N158230204
MX FTR,N1215400772
FR 2MV,R111344
FR MYQ,R233334
US 9CS,R126955
US VDM,N151427970
SE SOJ,N322089975
FR GE8,R149665
UA VYL,R7850753
CN QGZ,R3468766
US FUI,R13817120
PL LBN,R2863987
FR ZZX,R2618449
DE URW,R283562
FR G2R,R1112848
BR PEX,R315360
BE ALI,R12108463
NL VGR,R1505809
MX LPY,N7821290434
US QVZ,N158650076
EE HAK,R353318
US FAW,R6595894
FR PI6,R2979875
BR KIR,R303887
BR KDP,R315392
FR VMO,R113037
US C45,R169366
PT SOU,R5378426
NZ KBN,N277080882
FR KCR,R2429069
DE AHB,R933521
HR BLN,N1710499414
FR URC,R2799794
US BAE,R187290
FR MEU,R128122
